Trade date,Instrument code,Market code,Quantity,Price,Currency,Amount,Transaction fee,Transaction method
2024-03-18 13:30:02.676000 (UTC),KO,NYSE,0.0609322,59.91,usd,3.65,0,BUY
2024-01-16 14:30:27.743000 (UTC),MSFT,NASDAQ,0.05358504,393.58,usd,21.09,0,BUY
2024-04-15 13:30:27.190000 (UTC),JNJ,NYSE,0.05978297,148.37,usd,8.87,0,BUY
2025-03-28 13:30:05.923000 (UTC),QQQ,NASDAQ,0.11893841,479.66,usd,57.05,0,BUY
2023-10-08 22:33:50.221775 (UTC),23773,FundNZ,3.1304,2.715,nzd,8.5,0,BUY
2023-10-10 13:30:08.307000 (UTC),AAPL,NASDAQ,0.0840303,178.15,usd,14.97,0,BUY
2024-03-24 23:52:12.962211 (UTC),CEN,NZX,1.20048019,8.33,nzd,10,0,BUY
2024-03-25 13:30:04.766000 (UTC),MSFT,NASDAQ,0.042239,425.13,usd,17.96,0,BUY
2024-06-17 02:15:33.496025 (UTC),ANZ,NZX,0.80489375,31.06,nzd,25,0,BUY
2024-01-29 14:30:20.066000 (UTC),KO,NYSE,0.30803827,59.3,usd,18.27,0,BUY
2024-05-20 01:44:12.676223 (UTC),CEN,NZX,1.13250283,8.83,nzd,10,0,BUY
2024-02-12 14:30:03.134000 (UTC),MSFT,NASDAQ,0.04358059,420.6,usd,18.33,0,BUY
2024-07-15 01:56:29.362000 (UTC),IXJ,ASX,0.04819969,139.42,aud,6.72,0,BUY
2025-07-03 13:30:00.955000 (UTC),IBIT,NASDAQ,0.48925115,62.24,usd,30.45,0,SELL
2023-09-19 13:30:09.606000 (UTC),META,NASDAQ,0.04873049,302.48,usd,14.74,0,BUY
2024-02-12 14:30:25.079000 (UTC),QQQ,NASDAQ,0.06992606,436.89,usd,30.55,0,BUY
2024-05-20 13:30:04.449000 (UTC),SMH,NASDAQ,0.13228495,231.47,usd,30.62,0,BUY
2024-07-31 01:11:48.101000 (UTC),ILC,ASX,1.1516998,31.18,aud,35.91,0,BUY
2023-12-03 23:40:01.288724 (UTC),STU,NZX,9.52380952,1.05,nzd,10,0,BUY
2024-01-07 23:44:52.333000 (UTC),IXJ,ASX,0.35366133,130.69,aud,46.22,0,BUY
2024-02-25 23:47:03.383872 (UTC),STU,NZX,8.84955752,1.13,nzd,10,0,BUY
2024-02-05 14:30:22.136000 (UTC),META,NASDAQ,0.03848936,470,usd,18.09,0,BUY
2024-05-13 02:37:24.182072 (UTC),ANZ,NZX,0.80827675,30.93,nzd,25,0,BUY
2023-11-12 23:24:17.715000 (UTC),RIO,ASX,0.07581376,121.35,aud,9.2,0,BUY
